TimeStamp;RH
2.10.2020 21:02;93,1
2.10.2020 21:17;93,1
2.10.2020 21:32;95,5
2.10.2020 21:47;95
2.10.2020 22:02;96
2.10.2020 22:17;97,5
2.10.2020 22:32;98
2.10.2020 22:47;100,4
2.10.2020 23:02;101,9
2.10.2020 23:17;102,9
2.10.2020 23:32;103,8
2.10.2020 23:47;104,3
3.10.2020 0:02;103,8
3.10.2020 0:17;104,8
3.10.2020 0:32;104,3
3.10.2020 0:47;104,3
3.10.2020 1:02;104,3
3.10.2020 1:17;103,8
3.10.2020 1:32;104,8
3.10.2020 1:47;105,3
3.10.2020 2:02;105,3
3.10.2020 2:17;104,8
3.10.2020 2:32;105,3
3.10.2020 2:47;104,8
3.10.2020 3:02;104,3
3.10.2020 3:17;104,3
3.10.2020 3:32;104,8
3.10.2020 3:47;103,4
3.10.2020 4:02;103,8
3.10.2020 4:17;104,8
3.10.2020 4:32;106,3
3.10.2020 4:47;106,8
3.10.2020 5:02;107,8
3.10.2020 5:17;108,7
3.10.2020 5:32;110,2
3.10.2020 5:47;112,1
3.10.2020 6:02;113,1
3.10.2020 6:17;-14
3.10.2020 6:32;-13,5
3.10.2020 6:47;-12,5
3.10.2020 7:02;-12,5
3.10.2020 7:17;-11,5
3.10.2020 7:32;-11,5
3.10.2020 7:47;-12
3.10.2020 8:02;-10,5
3.10.2020 8:17;-12
3.10.2020 8:32;-14
3.10.2020 8:47;113,1
3.10.2020 9:02;111,2
3.10.2020 9:17;109,2
3.10.2020 9:32;106,8
3.10.2020 9:47;103,8
3.10.2020 10:02;101,4
3.10.2020 10:17;98
3.10.2020 10:32;93,1
3.10.2020 10:47;89,1
3.10.2020 11:02;88,2
3.10.2020 11:17;88,6
3.10.2020 11:32;88,2
3.10.2020 11:47;82,2
3.10.2020 12:02;80,8
3.10.2020 12:17;73,8
3.10.2020 12:32;72,4
3.10.2020 12:47;69,9
3.10.2020 13:02;67,4
3.10.2020 13:17;66,9
3.10.2020 13:32;67,4
3.10.2020 13:47;65,4
3.10.2020 14:02;65,9
3.10.2020 14:17;69,4
3.10.2020 14:32;66,9
3.10.2020 14:47;67,4
3.10.2020 15:02;65,4
3.10.2020 15:17;66,4
3.10.2020 15:32;67,9
3.10.2020 15:47;68,9
3.10.2020 16:02;69,9
3.10.2020 16:17;73,4
3.10.2020 16:32;73,8
3.10.2020 16:47;76,8
3.10.2020 17:02;79,8
3.10.2020 17:17;81,7
3.10.2020 17:32;81,3
3.10.2020 17:47;83,7
3.10.2020 18:02;85,7
3.10.2020 18:17;87,7
3.10.2020 18:32;88,6
3.10.2020 18:47;90,1
3.10.2020 19:02;90,6
3.10.2020 19:17;90,6
3.10.2020 19:32;90,6
3.10.2020 19:47;90,1
3.10.2020 20:02;89,6
3.10.2020 20:17;90,1
3.10.2020 20:32;89,6
3.10.2020 20:47;88,6
3.10.2020 21:02;87,2
3.10.2020 21:17;85,7
3.10.2020 21:32;84,7
3.10.2020 21:47;84,2
3.10.2020 22:02;84,2
